--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
000.069  000.068: event init
000.155  000.087: early init
001.202  001.047: locale set
001.224  000.021: init first window
001.626  000.403: inits 1
001.639  000.013: window checked
001.640  000.002: parsing arguments
001.916  000.024  000.024: require('vim.shared')
001.962  000.018  000.018: require('vim.inspect')
001.985  000.019  000.019: require('vim._options')
001.986  000.069  000.032: require('vim._editor')
001.987  000.109  000.017: require('vim._init_packages')
001.988  000.239: init lua interpreter
003.699  001.711: expanding arguments
003.708  000.008: inits 2
003.851  000.143: init highlight
003.860  000.009: clear screen
003.929  000.005  000.005: require('vim.keymap')
004.478  000.094  000.094: sourcing nvim_exec2()
004.581  000.719  000.619: require('vim._defaults')
004.582  000.003: init default mappings & autocommands
005.309  000.056  000.056: sourcing /opt/homebrew/Cellar/neovim/0.11.4/share/nvim/runtime/ftplugin.vim
005.586  000.032  000.032: sourcing /opt/homebrew/Cellar/neovim/0.11.4/share/nvim/runtime/indent.vim
006.615  000.633  000.633: require('lazy')
006.650  000.025  000.025: require('ffi')
006.685  000.023  000.023: require('vim.fs')
006.940  000.254  000.254: require('vim.uri')
006.947  000.295  000.019: require('vim.loader')
007.389  000.423  000.423: require('lazy.stats')
007.674  000.252  000.252: require('lazy.core.util')
007.919  000.244  000.244: require('lazy.core.config')
008.379  000.225  000.225: require('lazy.core.handler')
009.062  000.272  000.272: require('lazy.pkg')
009.064  000.482  000.210: require('lazy.core.meta')
009.068  000.688  000.206: require('lazy.core.plugin')
009.072  001.153  000.240: require('lazy.core.loader')
010.173  000.292  000.292: require('lazy.async')
010.831  000.420  000.420: require('lazy.manage.process')
011.163  000.330  000.330: require('lazy.terminal')
011.167  000.992  000.242: require('lazy.manage.task')
011.169  001.552  000.268: require('lazy.manage.runner')
011.179  001.796  000.243: require('lazy.manage')
011.181  002.023  000.228: require('lazy.view.commands')
011.457  000.256  000.256: require('lazy.core.fragments')
013.576  000.288  000.288: require('lazy.core.handler.cmd')
013.863  000.284  000.284: require('lazy.core.handler.keys')
